"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","wdsp","NUM_CRIMES"
"76",0,0,0,0,0,0,0,1,0,0,0,0,2011,7.6,0.770940170940171
"77",0,0,0,0,0,0,0,1,0,0,0,0,2011,13.2,0.357264957264957
"78",0,0,0,0,0,0,0,1,0,0,0,0,2011,11.4,0.328205128205128
"79",0,0,0,0,0,0,0,1,0,0,0,0,2011,9.4,0.483760683760684
"80",0,0,0,0,0,0,0,1,0,0,0,0,2011,9.7,0.478632478632479
"81",0,0,0,0,0,0,0,1,0,0,0,0,2011,11.3,0.724786324786325
"82",0,0,0,0,0,0,0,1,0,0,0,0,2011,11.3,0.11965811965812
"83",0,0,0,0,0,0,0,1,0,0,0,0,2011,6.8,0.211965811965812
"84",0,0,0,0,0,0,0,1,0,0,0,0,2011,13.1,0.41025641025641
"85",0,0,0,0,0,0,0,1,0,0,0,0,2011,13.8,0.523076923076923
"86",0,0,0,0,0,0,0,1,0,0,0,0,2011,11.7,0.44957264957265
"87",0,0,0,0,0,0,0,1,0,0,0,0,2011,15.8,0.222222222222222
"88",1,0,0,0,0,0,0,0,0,0,0,0,2011,5.3,0.333333333333333
"89",1,0,0,0,0,0,0,0,0,0,0,0,2011,7.1,0.541880341880342
"90",1,0,0,0,0,0,0,0,0,0,0,0,2011,3.3,0.651282051282051
"91",1,0,0,0,0,0,0,0,0,0,0,0,2011,4.7,0.504273504273504
"92",1,0,0,0,0,0,0,0,0,0,0,0,2011,7.5,0.475213675213675
"93",1,0,0,0,0,0,0,0,0,0,0,0,2011,8.2,0.642735042735043
"94",1,0,0,0,0,0,0,0,0,0,0,0,2011,4.7,0.72991452991453
"95",1,0,0,0,0,0,0,0,0,0,0,0,2011,6.7,0.557264957264957
"96",1,0,0,0,0,0,0,0,0,0,0,0,2011,5.8,0.572649572649573
"97",1,0,0,0,0,0,0,0,0,0,0,0,2011,6.3,0.408547008547009
"98",1,0,0,0,0,0,0,0,0,0,0,0,2011,9.4,0.641025641025641
"99",1,0,0,0,0,0,0,0,0,0,0,0,2011,9.6,0.774358974358974
"100",1,0,0,0,0,0,0,0,0,0,0,0,2011,11.1,0.54017094017094
"101",1,0,0,0,0,0,0,0,0,0,0,0,2011,10.5,0.57948717948718
"102",1,0,0,0,0,0,0,0,0,0,0,0,2011,10,0.411965811965812
"103",1,0,0,0,0,0,0,0,0,0,0,0,2011,12.7,0.388034188034188
"104",1,0,0,0,0,0,0,0,0,0,0,0,2011,14.4,0.444444444444444
"105",1,0,0,0,0,0,0,0,0,0,0,0,2011,12.2,0.430769230769231
"106",1,0,0,0,0,0,0,0,0,0,0,0,2011,11.6,0.641025641025641
"107",1,0,0,0,0,0,0,0,0,0,0,0,2011,9.7,0.502564102564103
"108",1,0,0,0,0,0,0,0,0,0,0,0,2011,11.7,0.569230769230769
"109",1,0,0,0,0,0,0,0,0,0,0,0,2011,14.4,0.211965811965812
"110",1,0,0,0,0,0,0,0,0,0,0,0,2011,12.1,0.786324786324786
"111",1,0,0,0,0,0,0,0,0,0,0,0,2011,13.3,0.605128205128205
"112",1,0,0,0,0,0,0,0,0,0,0,0,2011,13,0.502564102564103
"113",1,0,0,0,0,0,0,0,0,0,0,0,2011,12.7,0.463247863247863
"114",1,0,0,0,0,0,0,0,0,0,0,0,2011,13,0.52991452991453
"115",1,0,0,0,0,0,0,0,0,0,0,0,2011,17.5,0.632478632478632
"116",1,0,0,0,0,0,0,0,0,0,0,0,2011,13.3,0.553846153846154
"117",1,0,0,0,0,0,0,0,0,0,0,0,2011,13.1,0.646153846153846
"118",0,0,0,0,0,0,0,0,1,0,0,0,2011,6.1,0.782905982905983
"119",0,0,0,0,0,0,0,0,1,0,0,0,2011,5.2,0.695726495726496
"120",0,0,0,0,0,0,0,0,1,0,0,0,2011,7.1,0.494017094017094
"121",0,0,0,0,0,0,0,0,1,0,0,0,2011,4.6,0.791452991452991
"122",0,0,0,0,0,0,0,0,1,0,0,0,2011,6.8,0.516239316239316
"123",0,0,0,0,0,0,0,0,1,0,0,0,2011,8.9,0.581196581196581
"124",0,0,0,0,0,0,0,0,1,0,0,0,2011,5.3,0.504273504273504
"125",0,0,0,0,0,0,0,0,1,0,0,0,2011,7,0.535042735042735
"126",0,0,0,0,0,0,0,0,1,0,0,0,2011,7.1,0.535042735042735
"127",0,0,0,0,0,0,0,0,1,0,0,0,2011,7.4,0.552136752136752
"128",0,0,0,0,0,0,0,0,1,0,0,0,2011,5.2,0.393162393162393
"129",0,0,0,0,0,0,0,0,1,0,0,0,2011,6.8,0.635897435897436
"130",0,0,0,0,0,0,0,0,1,0,0,0,2011,6.4,0.547008547008547
"131",0,0,0,0,0,0,0,0,1,0,0,0,2011,9.4,0.723076923076923
"132",0,0,0,0,0,0,0,0,1,0,0,0,2011,9.1,0.658119658119658
"133",0,0,0,0,0,0,0,0,1,0,0,0,2011,9,0.601709401709402
"134",0,0,0,0,0,0,0,0,1,0,0,0,2011,8.3,0.726495726495726
"135",0,0,0,0,0,0,0,0,1,0,0,0,2011,9.4,0.647863247863248
"136",0,0,0,0,0,0,0,0,1,0,0,0,2011,8.7,0.700854700854701
"137",0,0,0,0,0,0,0,0,1,0,0,0,2011,7.3,0.890598290598291
"138",0,0,0,0,0,0,0,0,1,0,0,0,2011,11.9,0.748717948717949
"139",0,0,0,0,0,0,0,0,1,0,0,0,2011,11.8,0.690598290598291
"140",0,0,0,0,0,0,0,0,1,0,0,0,2011,12.2,0.661538461538462
"141",0,0,0,0,0,0,0,0,1,0,0,0,2011,13.6,0.54017094017094
"142",0,0,0,0,0,0,0,0,1,0,0,0,2011,16.3,0.471794871794872
"143",0,0,0,0,0,0,0,0,1,0,0,0,2011,12.3,0.84957264957265
"144",0,0,0,0,0,0,0,0,1,0,0,0,2011,11.8,0.683760683760684
"145",0,0,0,0,0,0,0,0,1,0,0,0,2011,9.9,0.618803418803419
"146",0,0,0,0,0,0,0,0,1,0,0,0,2011,16.4,0.452991452991453
"147",0,0,0,0,0,0,0,0,1,0,0,0,2011,17.3,0.505982905982906
"148",0,0,0,0,0,0,0,0,1,0,0,0,2011,6.5,0.67008547008547
"149",0,0,0,0,0,0,1,0,0,0,0,0,2011,4.4,0.676923076923077
"150",0,0,0,0,0,0,1,0,0,0,0,0,2011,5.4,0.786324786324786
"151",0,0,0,0,0,0,1,0,0,0,0,0,2011,3.4,0.647863247863248
"152",0,0,0,0,0,0,1,0,0,0,0,0,2011,4.6,0.776068376068376
"153",0,0,0,0,0,0,1,0,0,0,0,0,2011,5.7,0.627350427350427
"154",0,0,0,0,0,0,1,0,0,0,0,0,2011,6.3,0.651282051282051
"155",0,0,0,0,0,0,1,0,0,0,0,0,2011,5.7,0.692307692307692
"156",0,0,0,0,0,0,1,0,0,0,0,0,2011,7.9,0.685470085470085
"157",0,0,0,0,0,0,1,0,0,0,0,0,2011,8.6,0.728205128205128
"158",0,0,0,0,0,0,1,0,0,0,0,0,2011,5.3,0.892307692307692
"159",0,0,0,0,0,0,1,0,0,0,0,0,2011,7.7,0.846153846153846
"160",0,0,0,0,0,0,1,0,0,0,0,0,2011,5.8,0.758974358974359
"161",0,0,0,0,0,0,1,0,0,0,0,0,2011,6.6,0.765811965811966
"162",0,0,0,0,0,0,1,0,0,0,0,0,2011,8.8,0.642735042735043
"163",0,0,0,0,0,0,1,0,0,0,0,0,2011,10.1,0.707692307692308
"164",0,0,0,0,0,0,1,0,0,0,0,0,2011,7,0.714529914529915
"165",0,0,0,0,0,0,1,0,0,0,0,0,2011,7.4,0.603418803418803
"166",0,0,0,0,0,0,1,0,0,0,0,0,2011,6.8,0.776068376068376
"167",0,0,0,0,0,0,1,0,0,0,0,0,2011,8.2,0.642735042735043
"168",0,0,0,0,0,0,1,0,0,0,0,0,2011,8.8,0.758974358974359
"169",0,0,0,0,0,0,1,0,0,0,0,0,2011,8.2,0.897435897435897
"170",0,0,0,0,0,0,1,0,0,0,0,0,2011,7.7,0.786324786324786
"171",0,0,0,0,0,0,1,0,0,0,0,0,2011,9.5,0.733333333333333
"172",0,0,0,0,0,0,1,0,0,0,0,0,2011,10.3,0.776068376068376
"173",0,0,0,0,0,0,1,0,0,0,0,0,2011,11.5,0.671794871794872
"174",0,0,0,0,0,0,1,0,0,0,0,0,2011,7.3,0.593162393162393
"175",0,0,0,0,0,0,1,0,0,0,0,0,2011,11,0.969230769230769
"176",0,0,0,0,0,0,1,0,0,0,0,0,2011,11.8,0.65982905982906
"177",0,0,0,0,0,0,1,0,0,0,0,0,2011,10.8,0.528205128205128
"178",0,0,0,0,0,0,1,0,0,0,0,0,2011,9.3,0.765811965811966
"179",0,0,0,0,0,1,0,0,0,0,0,0,2011,2.8,0.723076923076923
"180",0,0,0,0,0,1,0,0,0,0,0,0,2011,4.1,0.842735042735043
"181",0,0,0,0,0,1,0,0,0,0,0,0,2011,4.2,0.676923076923077
"182",0,0,0,0,0,1,0,0,0,0,0,0,2011,4.4,0.717948717948718
"183",0,0,0,0,0,1,0,0,0,0,0,0,2011,7.6,0.817094017094017
"184",0,0,0,0,0,1,0,0,0,0,0,0,2011,3.1,0.769230769230769
"185",0,0,0,0,0,1,0,0,0,0,0,0,2011,7,0.72991452991453
"186",0,0,0,0,0,1,0,0,0,0,0,0,2011,6.7,0.717948717948718
"187",0,0,0,0,0,1,0,0,0,0,0,0,2011,6.2,0.642735042735043
"188",0,0,0,0,0,1,0,0,0,0,0,0,2011,6.1,0.916239316239316
"189",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.7,0.745299145299145
"190",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.2,0.564102564102564
"191",0,0,0,0,0,1,0,0,0,0,0,0,2011,7,0.711111111111111
"192",0,0,0,0,0,1,0,0,0,0,0,0,2011,4.1,0.646153846153846
"193",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.2,0.664957264957265
"194",0,0,0,0,0,1,0,0,0,0,0,0,2011,7.8,0.712820512820513
"195",0,0,0,0,0,1,0,0,0,0,0,0,2011,6,0.65982905982906
"196",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.2,0.699145299145299
"197",0,0,0,0,0,1,0,0,0,0,0,0,2011,9.6,0.611965811965812
"198",0,0,0,0,0,1,0,0,0,0,0,0,2011,8.5,0.753846153846154
"199",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.1,0.705982905982906
"200",0,0,0,0,0,1,0,0,0,0,0,0,2011,10.8,0.794871794871795
"201",0,0,0,0,0,1,0,0,0,0,0,0,2011,6.1,0.741880341880342
"202",0,0,0,0,0,1,0,0,0,0,0,0,2011,9.9,0.68034188034188
"203",0,0,0,0,0,1,0,0,0,0,0,0,2011,4.8,0.594871794871795
"204",0,0,0,0,0,1,0,0,0,0,0,0,2011,7.6,0.625641025641026
"205",0,0,0,0,0,1,0,0,0,0,0,0,2011,7.7,0.747008547008547
"206",0,0,0,0,0,1,0,0,0,0,0,0,2011,5.4,0.658119658119658
"207",0,0,0,0,0,1,0,0,0,0,0,0,2011,7,0.811965811965812
"208",0,0,0,0,0,1,0,0,0,0,0,0,2011,11.1,0.818803418803419
"209",0,0,0,0,0,1,0,0,0,0,0,0,2011,7.4,0.747008547008547
"210",0,1,0,0,0,0,0,0,0,0,0,0,2011,2.1,0.512820512820513
"211",0,1,0,0,0,0,0,0,0,0,0,0,2011,3.8,0.629059829059829
"212",0,1,0,0,0,0,0,0,0,0,0,0,2011,5.5,1
"213",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.4,0.651282051282051
"214",0,1,0,0,0,0,0,0,0,0,0,0,2011,3.6,0.683760683760684
"215",0,1,0,0,0,0,0,0,0,0,0,0,2011,5.1,0.67008547008547
