"","wdsp","NUM_CRIMES"
"50",6.4,0.485470085470085
"55",4.7,0.198290598290598
"59",5.8,0.454700854700855
"72",5.7,0.446153846153846
"75",5.6,0.425641025641026
"76",4.5,0.452991452991453
"77",5.1,0.570940170940171
"86",4.9,0.164102564102564
"96",6,0.415384615384615
"99",7.2,0.396581196581197
"102",8,0.323076923076923
"104",8.3,0.326495726495727
"109",8,0.176068376068376
"117",8.1,0.27008547008547
"118",6.2,0.176068376068376
"127",8.6,0.485470085470085
"137",7.3,0.32991452991453
"141",9,0.32991452991453
"148",9.4,0.478632478632479
"159",7.9,0.295726495726496
"167",9.3,0.268376068376068
"190",7.4,0.282051282051282
"204",9.9,0.413675213675214
"206",11.5,0.314529914529915
"224",13.1,0.241025641025641
"234",10,0.403418803418803
"248",12.1,0.439316239316239
"253",11.9,0.100854700854701
"261",9.6,0.394871794871795
"283",9,0.31965811965812
"378",4.2,0
"383",3.4,0.347008547008547
"399",5.7,0.0888888888888889
"408",6.4,0.482051282051282
"424",7,0.188034188034188
"425",5.4,0.222222222222222
"434",6.7,0.355555555555556
"450",9.6,0.186324786324786
"456",6.1,0.406837606837607
"473",8.4,0.184615384615385
"476",8.3,0.393162393162393
"477",10.8,0.217094017094017
"479",9.9,0.0290598290598291
"486",9,0.299145299145299
"489",7.8,0.218803418803419
"508",7.7,0.345299145299145
"527",8.5,0.456410256410256
"539",9.4,0.391452991452991
"550",13.7,0.0888888888888889
"551",9.2,0.111111111111111
"556",12.1,0.558974358974359
"591",12.1,0.364102564102564
"609",14.1,0.714529914529915
"615",12.4,0.439316239316239
"637",14.2,0.381196581196581
"646",17.2,0.0803418803418803
"708",7.3,0.473504273504273
"709",5.3,0.47008547008547
"710",4.4,0.331623931623932
"711",6.6,0.724786324786325
"713",7.8,0.488888888888889
"714",4.5,0.523076923076923
"716",7,0.451282051282051
"737",7,0.452991452991453
"738",5.1,0.685470085470085
"749",9.3,0.420512820512821
"750",6.7,0.492307692307692
"753",6.3,0.475213675213675
"771",6,0.567521367521368
"776",8.9,0.288888888888889
"780",7.6,0.630769230769231
"816",6.4,0.44957264957265
"821",11.8,0.500854700854701
"824",6.8,0.687179487179487
"833",9.7,0.261538461538462
"839",7.6,0.770940170940171
"855",13.2,0.357264957264957
"864",11.4,0.328205128205128
"895",9.4,0.483760683760684
"896",9.7,0.478632478632479
"909",11.3,0.724786324786325
"913",11.3,0.11965811965812
"921",6.8,0.211965811965812
"937",13.1,0.41025641025641
"946",13.8,0.523076923076923
"949",11.7,0.44957264957265
"958",15.8,0.222222222222222
"1036",5.3,0.333333333333333
"1038",7.1,0.541880341880342
"1042",3.3,0.651282051282051
"1053",4.7,0.504273504273504
"1064",7.5,0.475213675213675
"1078",8.2,0.642735042735043
"1079",4.7,0.72991452991453
"1094",6.7,0.557264957264957
"1132",5.8,0.572649572649573
"1133",6.3,0.408547008547009
"1139",9.4,0.641025641025641
"1186",9.6,0.774358974358974
"1188",11.1,0.54017094017094
"1197",10.5,0.57948717948718
"1240",10,0.411965811965812
"1241",12.7,0.388034188034188
"1247",14.4,0.444444444444444
"1258",12.2,0.430769230769231
"1259",11.6,0.641025641025641
"1260",9.7,0.502564102564103
"1267",11.7,0.569230769230769
"1269",14.4,0.211965811965812
"1273",12.1,0.786324786324786
"1279",13.3,0.605128205128205
"1284",13,0.502564102564103
"1285",12.7,0.463247863247863
"1286",13,0.52991452991453
"1300",17.5,0.632478632478632
"1311",13.3,0.553846153846154
"1314",13.1,0.646153846153846
"1378",6.1,0.782905982905983
"1383",5.2,0.695726495726496
"1401",7.1,0.494017094017094
"1410",4.6,0.791452991452991
"1415",6.8,0.516239316239316
"1419",8.9,0.581196581196581
"1442",5.3,0.504273504273504
"1461",7,0.535042735042735
"1477",7.1,0.535042735042735
"1499",7.4,0.552136752136752
"1504",5.2,0.393162393162393
"1513",6.8,0.635897435897436
"1515",6.4,0.547008547008547
"1527",9.4,0.723076923076923
"1542",9.1,0.658119658119658
"1547",9,0.601709401709402
"1548",8.3,0.726495726495726
"1560",9.4,0.647863247863248
"1563",8.7,0.700854700854701
"1585",7.3,0.890598290598291
"1591",11.9,0.748717948717949
"1598",11.8,0.690598290598291
"1604",12.2,0.661538461538462
"1608",13.6,0.54017094017094
"1613",16.3,0.471794871794872
"1630",12.3,0.84957264957265
"1634",11.8,0.683760683760684
"1643",9.9,0.618803418803419
"1649",16.4,0.452991452991453
"1651",17.3,0.505982905982906
"1661",6.5,0.67008547008547
"1701",4.4,0.676923076923077
"1707",5.4,0.786324786324786
"1708",3.4,0.647863247863248
"1720",4.6,0.776068376068376
"1724",5.7,0.627350427350427
"1779",6.3,0.651282051282051
"1787",5.7,0.692307692307692
"1792",7.9,0.685470085470085
"1793",8.6,0.728205128205128
"1794",5.3,0.892307692307692
"1801",7.7,0.846153846153846
"1805",5.8,0.758974358974359
"1816",6.6,0.765811965811966
"1828",8.8,0.642735042735043
"1836",10.1,0.707692307692308
"1858",7,0.714529914529915
"1867",7.4,0.603418803418803
"1872",6.8,0.776068376068376
"1882",8.2,0.642735042735043
"1887",8.8,0.758974358974359
"1901",8.2,0.897435897435897
"1902",7.7,0.786324786324786
"1911",9.5,0.733333333333333
"1918",10.3,0.776068376068376
"1927",11.5,0.671794871794872
"1930",7.3,0.593162393162393
"1960",11,0.969230769230769
"1981",11.8,0.65982905982906
"1988",10.8,0.528205128205128
"1990",9.3,0.765811965811966
"2026",2.8,0.723076923076923
"2031",4.1,0.842735042735043
"2040",4.2,0.676923076923077
"2048",4.4,0.717948717948718
"2059",7.6,0.817094017094017
"2068",3.1,0.769230769230769
"2076",7,0.72991452991453
"2097",6.7,0.717948717948718
"2100",6.2,0.642735042735043
"2112",6.1,0.916239316239316
"2115",5.7,0.745299145299145
"2122",5.2,0.564102564102564
"2126",7,0.711111111111111
"2133",4.1,0.646153846153846
"2141",5.2,0.664957264957265
"2155",7.8,0.712820512820513
"2164",6,0.65982905982906
"2170",5.2,0.699145299145299
"2175",9.6,0.611965811965812
"2189",8.5,0.753846153846154
"2229",5.1,0.705982905982906
"2231",10.8,0.794871794871795
"2235",6.1,0.741880341880342
