"","mo","wdsp","sndp","fog","NUM_CRIMES"
"3062",10,5.3,999.9,0,0.705982905982906
"3065",10,3.1,999.9,0,0.543589743589744
"3072",10,4.1,999.9,0,0.61025641025641
"3075",10,3.9,999.9,0,0.637606837606838
"3085",10,3.5,999.9,0,0.598290598290598
"3097",10,4.2,999.9,0,0.671794871794872
"3102",10,3.9,999.9,0,0.490598290598291
"3106",10,3.5,999.9,0,0.664957264957265
"3115",10,5.5,999.9,0,0.415384615384615
"3120",10,5.7,999.9,0,0.687179487179487
"3137",10,5.3,999.9,0,0.299145299145299
"3160",10,6.3,999.9,0,0.618803418803419
"3173",10,6.8,999.9,0,0.41025641025641
"3187",10,5,999.9,0,0.454700854700855
"3192",10,5.4,999.9,0,0.654700854700855
"3198",10,5.4,999.9,0,0.504273504273504
"3217",10,8.2,999.9,0,0.517948717948718
"3229",10,8.7,999.9,0,0.697435897435897
"3230",10,11.2,999.9,0,0.717948717948718
"3232",10,10.2,999.9,0,0.452991452991453
"3236",10,11.3,999.9,0,0.553846153846154
"3315",10,12.1,999.9,0,0.630769230769231
"3324",10,14.9,999.9,0,0.386324786324786
"3325",10,8.1,999.9,0,0.514529914529914
"3327",10,14.4,999.9,0,0.528205128205128
"3340",10,7.7,999.9,0,0.634188034188034
"3342",10,17.1,999.9,0,0.401709401709402
"3469",11,6.5,999.9,0,0.941880341880342
"3474",11,5.6,999.9,0,0.55042735042735
"3480",11,7,999.9,0,0.430769230769231
"3488",11,9.1,999.9,0,0.548717948717949
"3491",11,4.2,999.9,0,0.370940170940171
"3515",11,9.6,999.9,0,0.476923076923077
"3520",11,6.5,999.9,0,0.694017094017094
"3522",11,7.4,999.9,0,0.524786324786325
"3528",11,10.2,999.9,0,0.418803418803419
"3530",11,5,999.9,0,0.52991452991453
"3535",11,9.3,999.9,0,0.0991452991452991
"3538",11,8.6,999.9,0,0.58974358974359
"3545",11,11,999.9,0,0.384615384615385
"3547",11,9.9,999.9,0,0.394871794871795
"3552",11,10.9,999.9,0,0.341880341880342
"3558",11,12.1,999.9,0,0.48034188034188
"3569",11,9.6,999.9,0,0.601709401709402
"3584",11,7.7,999.9,0,0.372649572649573
"3591",11,10.8,999.9,0,0.295726495726496
"3593",11,12.2,999.9,0,0.452991452991453
"3594",11,10.5,999.9,0,0.441025641025641
"3607",11,10.8,999.9,1,0.362393162393162
"3630",11,11.6,999.9,0,0.492307692307692
"3632",11,13.8,999.9,0,0.441025641025641
"3635",11,16.1,999.9,0,0.48034188034188
"3636",11,11.7,999.9,0,0.473504273504273
"3640",11,9.1,999.9,0,0.411965811965812
"3665",11,12.4,999.9,0,0.411965811965812
"3670",11,17.7,999.9,0,0.355555555555556
"3674",11,21,999.9,0,0.408547008547009
"3724",12,4.1,999.9,0,0.552136752136752
"3727",12,4.3,999.9,0,0.278632478632479
"3743",12,4.5,999.9,0,0.683760683760684
"3765",12,6.5,999.9,0,0.45982905982906
"3799",12,7.1,999.9,0,0.391452991452991
"3807",12,6.7,999.9,0,0.593162393162393
"3810",12,8.6,999.9,0,0.381196581196581
"3824",12,5.1,999.9,1,0.485470085470085
"3836",12,6,999.9,0,0.388034188034188
"3837",12,6.2,999.9,0,0.102564102564103
"3840",12,8.7,999.9,0,0.312820512820513
"3845",12,6.8,999.9,1,0.305982905982906
"3851",12,8,999.9,0,0.355555555555556
"3855",12,5.7,999.9,0,0.302564102564103
"3859",12,4.3,999.9,1,0.418803418803419
"3860",12,7.3,999.9,0,0.138461538461538
"3880",12,8.8,999.9,0,0.239316239316239
"3883",12,8.8,999.9,0,0.558974358974359
"3886",12,7.2,999.9,0,0.34017094017094
"3894",12,11.5,999.9,0,0.379487179487179
"3896",12,8.2,999.9,0,0.507692307692308
"3901",12,8.5,999.9,0,0.461538461538462
"3908",12,7.5,999.9,0,0.309401709401709
"3909",12,10.2,999.9,0,0.490598290598291
"3925",12,8.3,999.9,0,0.482051282051282
"3930",12,9.2,999.9,0,0.360683760683761
"3948",12,9.4,999.9,0,0.439316239316239
"3971",12,12.7,999.9,0,0.394871794871795
"3990",12,9.5,999.9,0,0.227350427350427
"4002",12,15.2,999.9,0,0.482051282051282
"44",1,1.9,999.9,0,0.29635761589404
"48",1,4.3,999.9,0,0.44205298013245
"53",1,3.7,999.9,0,0.503311258278146
"65",1,3,999.9,0,0.564569536423841
"70",1,5.5,5.1,1,0.105960264900662
"110",1,6.9,999.9,0,0.413907284768212
"111",1,6.5,3.9,0,0.264900662251656
"120",1,7.7,999.9,0,0.485099337748344
"140",1,10,1.2,0,0.339403973509934
"147",1,7.5,999.9,0,0.516556291390728
"160",1,6.6,3.9,0,0.25
"173",1,6.5,3.1,1,0.205298013245033
"176",1,9.8,5.1,0,0.100993377483444
"178",1,10,999.9,0,0.567880794701987
"183",1,7.4,7.1,1,0.158940397350993
"187",1,8.7,999.9,0,0.281456953642384
"199",1,7.9,999.9,0,0.400662251655629
"200",1,9,999.9,0,0.309602649006623
"214",1,5.8,999.9,0,0.460264900662252
"216",1,9,999.9,0,0.294701986754967
"228",1,11.9,999.9,0,0.210264900662252
"229",1,9.4,999.9,0,0.408940397350993
"255",1,11.9,5.1,0,0.216887417218543
"276",1,6.7,999.9,0,0.433774834437086
"277",1,11.7,999.9,0,0.317880794701987
"290",1,11.9,999.9,0,0.458609271523179
"301",1,12.6,1.2,0,0.309602649006623
"311",1,17.1,999.9,0,0.134105960264901
"312",1,9.8,999.9,0,0.369205298013245
"333",1,13.6,3.1,1,0.352649006622517
"379",2,3,999.9,0,0.43046357615894
"400",2,5.3,999.9,0,0.697019867549669
"404",2,5.3,999.9,0,0.450331125827815
"420",2,4.9,999.9,0,0.456953642384106
"422",2,7.5,999.9,0,0.271523178807947
"437",2,8.1,999.9,0,0.344370860927152
"440",2,5,999.9,0,0.20364238410596
"444",2,9.1,999.9,0,0.314569536423841
"454",2,7.8,999.9,0,0.235099337748344
"459",2,8.2,999.9,0,0.508278145695364
"462",2,5.3,999.9,0,0.157284768211921
"466",2,7,999.9,0,0.18046357615894
"475",2,4.5,999.9,0,0.324503311258278
"478",2,10.1,1.2,0,0.160596026490066
"492",2,9.6,999.9,0,0.375827814569536
"501",2,7.3,999.9,0,0.604304635761589
"502",2,7.5,999.9,0,0.412251655629139
"514",2,8.7,999.9,0,0.23841059602649
"526",2,7.1,999.9,0,0.456953642384106
"536",2,7.5,1.2,0,0.254966887417219
"581",2,11.8,999.9,0,0.283112582781457
"595",2,11.7,999.9,0,0.379139072847682
"604",2,11.2,999.9,0,0.326158940397351
"616",2,9.1,999.9,0,0.392384105960265
"619",2,13.3,1.2,1,0.269867549668874
"620",2,10,999.9,0,0.175496688741722
"621",2,15,1.2,0,0.150662251655629
"625",2,9.7,1.2,0,0.254966887417219
"642",2,14.1,999.9,0,0.420529801324503
"689",3,4.3,999.9,0,0.587748344370861
"726",3,6.8,999.9,0,0.493377483443709
"728",3,4.8,999.9,1,0.470198675496689
"731",3,6,999.9,0,0.506622516556291
"754",3,4.7,999.9,0,0.556291390728477
"760",3,7.8,999.9,0,0.236754966887417
"762",3,7.6,999.9,0,0.753311258278146
"765",3,7.6,999.9,0,0.592715231788079
"772",3,6.3,999.9,0,0.437086092715232
"773",3,8.4,999.9,0,0.529801324503311
"775",3,8.2,999.9,0,0.225165562913907
"777",3,4.5,999.9,0,0.592715231788079
"788",3,8.2,999.9,0,0.425496688741722
"808",3,7.8,999.9,0,0.743377483443709
"813",3,8.3,999.9,0,0.627483443708609
"817",3,8.7,999.9,0,0.541390728476821
"820",3,8.7,999.9,0,0.304635761589404
"856",3,7.9,999.9,0,0.51158940397351
"888",3,12.3,999.9,0,0.55794701986755
"918",3,9,999.9,0,0.43046357615894
"931",3,13.3,999.9,0,0.408940397350993
"932",3,12,999.9,0,0.614238410596026
"945",3,13.6,999.9,0,0.347682119205298
"954",3,12.6,999.9,0,0.480132450331126
"956",3,10.8,999.9,0,0.447019867549669
"960",3,13.1,999.9,0,0.481788079470199
"966",3,15.1,999.9,0,0.498344370860927
"983",3,17,999.9,0,0.263245033112583
"987",3,12,999.9,0,0.698675496688742
"988",3,18.9,999.9,0,0.544701986754967
"989",3,15.1,999.9,0,0.524834437086093
"1044",4,5.1,999.9,0,0.410596026490066
"1050",4,5.6,999.9,0,0.586092715231788
"1056",4,4.8,999.9,0,0.455298013245033
"1059",4,7.3,999.9,0,0.495033112582781
"1092",4,3.5,999.9,0,0.5
"1098",4,6.3,999.9,0,0.625827814569536
"1100",4,8.3,999.9,0,0.562913907284768
"1104",4,10,999.9,0,0.342715231788079
"1109",4,9.3,999.9,0,0.566225165562914
"1113",4,9.5,999.9,0,0.466887417218543
"1149",4,7.7,999.9,0,0.435430463576159
"1150",4,6.4,999.9,0,0.559602649006622
"1152",4,6.4,999.9,0,0.548013245033113
"1156",4,7.9,999.9,0,0.53476821192053
"1173",4,9,999.9,0,0.427152317880795
"1181",4,12.2,999.9,0,0.369205298013245
"1191",4,9.1,999.9,0,0.526490066225166
"1202",4,10.4,999.9,0,0.301324503311258
"1207",4,11,999.9,0,0.503311258278146
"1220",4,10.7,999.9,0,0.519867549668874
"1226",4,11.1,999.9,0,0.329470198675497
"1243",4,14,999.9,0,0.43046357615894
"1244",4,12.8,999.9,0,0.425496688741722
"1250",4,11.5,999.9,0,0.336092715231788
"1255",4,11.9,999.9,0,0.589403973509934
"1256",4,9.9,999.9,0,0.422185430463576
"1257",4,14.1,999.9,0,0.403973509933775
"1282",4,9.8,999.9,0,0.490066225165563
"1306",4,11.4,999.9,0,0.491721854304636
"1320",4,19,999.9,0,0.513245033112583
"1398",5,4.9,999.9,0,0.582781456953642
"1407",5,4.9,999.9,0,0.746688741721854
"1413",5,5,999.9,0,0.551324503311258
"1416",5,7.2,999.9,0,0.591059602649007
"1421",5,7.1,999.9,0,0.544701986754967
"1422",5,5.2,999.9,0,0.735099337748344
"1432",5,6.8,999.9,0,0.369205298013245
"1434",5,7.5,999.9,0,0.544701986754967
"1436",5,7.2,999.9,0,0.513245033112583
"1438",5,7.7,999.9,0,0.589403973509934
"1439",5,5.5,999.9,0,0.48841059602649
"1443",5,3.3,999.9,0,0.634105960264901
"1454",5,6.8,999.9,0,0.624172185430464
"1466",5,9,999.9,0,0.506622516556291
"1467",5,8.9,999.9,0,0.678807947019868
"1479",5,8.4,999.9,0,0.602649006622517
"1495",5,10.7,999.9,0,0.764900662251656
"1502",5,9.3,999.9,0,0.514900662251656
"1505",5,5.8,999.9,1,0.66887417218543
"1511",5,7.9,999.9,0,0.327814569536424
"1524",5,9.2,999.9,0,0.695364238410596
"1543",5,10.2,999.9,0,0.480132450331126
"1550",5,11.2,999.9,0,0.344370860927152
"1575",5,10.4,999.9,0,0.596026490066225
"1578",5,8.7,999.9,0,0.622516556291391
"1596",5,12.5,999.9,0,0.539735099337748
"1599",5,10,999.9,0,0.554635761589404
"1609",5,12.3,999.9,0,0.677152317880795
"1614",5,11,999.9,0,0.783112582781457
"1618",5,11.4,999.9,0,0.438741721854305
"1637",5,11.7,999.9,0,0.665562913907285
"1716",6,7.2,999.9,0,0.764900662251656
"1719",6,5,999.9,0,0.826158940397351
"1729",6,5.7,999.9,0,0.816225165562914
"1734",6,6,999.9,0,0.667218543046358
"1742",6,7.1,999.9,0,0.753311258278146
"1746",6,5.1,999.9,0,0.612582781456954
"1747",6,7.4,999.9,0,0.592715231788079
"1749",6,4.3,999.9,0,0.839403973509934
"1782",6,5.4,999.9,0,0.754966887417219
"1802",6,6.7,999.9,0,0.556291390728477
"1822",6,10.4,999.9,0,0.774834437086093
"1826",6,8.6,999.9,0,0.640728476821192
"1835",6,7.8,999.9,0,0.594370860927152
"1838",6,9,999.9,0,0.544701986754967
"1840",6,8.3,999.9,0,0.612582781456954
"1862",6,6.5,999.9,0,0.645695364238411
"1888",6,8.9,999.9,0,0.710264900662252
"1894",6,9.8,999.9,0,0.73841059602649
"1896",6,10.5,999.9,0,1
"1909",6,5.7,999.9,0,0.701986754966887
"1913",6,9.2,999.9,0,0.705298013245033
"1924",6,9.4,999.9,0,0.720198675496689
"1935",6,13.1,999.9,0,0.789735099337748
"1939",6,12.8,999.9,0,0.634105960264901
"1944",6,9.6,999.9,0,0.53476821192053
"1945",6,10.7,999.9,0,0.526490066225166
"1948",6,14.5,999.9,0,0.56953642384106
"1950",6,9.6,999.9,0,0.730132450331126
"1964",6,8.3,999.9,0,0.538079470198676
"1989",6,13.2,999.9,0,0.740066225165563
"2034",7,3.8,999.9,0,0.735099337748344
"2035",7,5.2,999.9,0,0.602649006622517
"2073",7,6.1,999.9,0,0.672185430463576
"2089",7,6.5,999.9,0,0.834437086092715
"2101",7,5,999.9,0,0.655629139072848
"2102",7,4.7,999.9,0,0.720198675496689
"2114",7,6.4,999.9,0,0.625827814569536
"2149",7,5.9,999.9,0,0.589403973509934
"2157",7,3.7,999.9,0,0.716887417218543
"2172",7,7.9,999.9,0,0.701986754966887
"2177",7,9.2,999.9,0,0.72682119205298
"2179",7,8.9,999.9,0,0.700331125827815
"2185",7,7.7,999.9,0,0.731788079470199
"2192",7,8.7,999.9,0,0.634105960264901
"2194",7,8,999.9,0,0.677152317880795
"2195",7,8.2,999.9,0,0.693708609271523
"2198",7,5.9,999.9,0,0.735099337748344
"2200",7,6.8,999.9,0,0.607615894039735
"2207",7,9.3,999.9,0,0.716887417218543
"2226",7,6.3,999.9,0,0.644039735099338
"2236",7,10.8,999.9,0,0.746688741721854
"2238",7,6.2,999.9,0,0.766556291390728
"2244",7,9.4,999.9,0,0.607615894039735
"2266",7,12.9,999.9,0,0.781456953642384
"2268",7,6.3,999.9,0,0.693708609271523
"2286",7,9,999.9,0,0.587748344370861
"2314",7,9.9,999.9,0,0.647350993377483
"2321",7,8.2,999.9,0,0.516556291390728
"2331",7,5.1,999.9,0,0.943708609271523
"2332",7,8.6,999.9,0,0.496688741721854
"2334",7,7.3,999.9,0,0.572847682119205
"2371",8,2.5,999.9,0,0.408940397350993
"2378",8,3.7,999.9,0,0.496688741721854
"2382",8,3.7,999.9,0,0.536423841059603
"2384",8,6.1,999.9,0,0.567880794701987
"2392",8,3.2,999.9,0,0.562913907284768
"2411",8,3.8,999.9,0,0.528145695364238
"2418",8,2.9,999.9,0,0.450331125827815
"2425",8,4.1,999.9,0,0.806291390728477
"2430",8,4.3,999.9,0,0.445364238410596
"2431",8,6.1,999.9,0,0.678807947019868
"2432",8,4.5,999.9,0,0.552980132450331
"2443",8,4.5,999.9,0,0.564569536423841
"2460",8,5.9,999.9,0,0.658940397350993
"2465",8,6.7,999.9,0,0.68046357615894
"2481",8,4.9,999.9,0,0.728476821192053
"2482",8,6.9,999.9,0,0.584437086092715
"2497",8,4.4,999.9,0,0.549668874172185
"2512",8,8.7,999.9,0,0.617549668874172
"2513",8,7.9,999.9,0,0.509933774834437
