day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
4,2011,06,02,2011-06-02,60.2,9999.9,9999.9,999.9,11.4,16.9,999.9,78.4,50.4,0.0,999.9,0,1178
5,2011,06,03,2011-06-03,58.3,9999.9,9999.9,999.9,11.5,25.1,999.9,74.1,49.8,0.0,999.9,0,1113
5,2011,06,03,2011-06-03,70.9,56.2,1018.2,10.0,7.7,15.9,22.9,88.0,57.0,0.18,999.9,0,1113
6,2011,06,04,2011-06-04,74.9,9999.9,9999.9,999.9,17.7,22.9,999.9,83.3,64.4,0.0,999.9,0,1101
6,2011,06,04,2011-06-04,80.9,66.3,1015.0,9.5,9.3,27.0,34.0,91.0,69.1,0.5,999.9,1,1101
7,2011,06,05,2011-06-05,72.7,56.5,1018.2,9.6,3.4,8.9,999.9,84.0,64.0,0.01,999.9,0,1032
7,2011,06,05,2011-06-05,64.9,9999.9,9999.9,999.9,6.7,13.0,999.9,71.6,55.2,0.0,999.9,0,1032
1,2011,06,06,2011-06-06,65.6,9999.9,9999.9,999.9,8.8,22.9,999.9,90.1,55.8,0.0,999.9,0,1071
1,2011,06,06,2011-06-06,74.9,57.7,1014.0,10.0,7.0,15.0,27.0,93.9,62.1,0.0,999.9,0,1071
2,2011,06,07,2011-06-07,85.4,9999.9,9999.9,999.9,16.0,22.0,999.9,93.0,78.4,0.0,999.9,0,1097
2,2011,06,07,2011-06-07,86.4,66.9,1009.0,9.8,8.8,15.9,20.0,96.1,77.0,0.0,999.9,0,1097
3,2011,06,08,2011-06-08,86.2,9999.9,9999.9,999.9,21.1,27.0,999.9,92.7,79.0,0.0,999.9,0,1082
3,2011,06,08,2011-06-08,86.7,62.8,1008.5,9.9,9.5,17.1,27.0,96.1,78.1,0.0,999.9,0,1082
4,2011,06,09,2011-06-09,65.6,57.5,1013.6,7.7,10.8,26.0,36.9,91.9,52.0,1.27,999.9,1,962
4,2011,06,09,2011-06-09,63.1,9999.9,9999.9,999.9,17.5,28.9,999.9,91.0,47.7,0.0,999.9,0,962
5,2011,06,10,2011-06-10,58.1,52.5,1014.1,7.3,7.7,13.0,22.9,71.1,51.1,2.17,999.9,0,1148
5,2011,06,10,2011-06-10,51.5,9999.9,9999.9,999.9,13.8,25.1,999.9,55.8,48.0,0.0,999.9,0,1148
6,2011,06,11,2011-06-11,59.3,55.6,1013.4,4.4,5.7,9.9,999.9,64.9,55.9,0.05,999.9,0,1020
6,2011,06,11,2011-06-11,52.3,9999.9,9999.9,999.9,10.9,15.9,999.9,56.1,50.0,0.0,999.9,0,1020
7,2011,06,12,2011-06-12,57.2,48.3,1018.6,8.5,7.4,15.0,20.0,64.0,51.1,0.09,999.9,0,1006
7,2011,06,12,2011-06-12,52.1,9999.9,9999.9,999.9,10.0,16.9,999.9,54.1,49.8,0.0,999.9,0,1006
1,2011,06,13,2011-06-13,62.6,42.5,1020.0,10.0,7.9,12.0,999.9,71.1,55.9,0.0,999.9,0,1054
1,2011,06,13,2011-06-13,54.6,9999.9,9999.9,999.9,7.9,15.0,999.9,57.2,52.9,0.0,999.9,0,1054
2,2011,06,14,2011-06-14,66.0,46.2,1017.1,10.0,6.6,13.0,19.0,77.0,57.9,0.0,999.9,0,1101
2,2011,06,14,2011-06-14,57.6,9999.9,9999.9,999.9,8.1,19.0,999.9,61.0,54.3,0.0,999.9,0,1101
3,2011,06,15,2011-06-15,66.7,55.8,1008.7,8.2,10.3,17.1,24.1,72.0,57.0,0.4,999.9,0,1107
3,2011,06,15,2011-06-15,61.4,9999.9,9999.9,999.9,16.9,29.9,999.9,65.7,55.6,0.0,999.9,0,1107
4,2011,06,16,2011-06-16,68.9,61.0,1006.7,7.6,8.2,15.9,28.0,81.0,62.1,0.47,999.9,0,1029
