"","temp","year"
"3488",58.3,2011
"3491",54.1,2011
"3515",42.2,2011
"3520",50.3,2011
"3522",36,2011
"3528",36.8,2011
"3530",48.6,2011
"3535",42.5,2011
"3538",45.9,2011
"3545",53.8,2011
"3547",42,2011
"3552",42.9,2011
"3558",46.9,2011
"3569",47,2011
"3584",51.2,2011
"3591",43.5,2011
"3593",46.8,2011
"3594",32.1,2011
"3607",36.8,2011
"3630",52.5,2011
"3632",47.7,2011
"3635",58.6,2011
"3636",38.2,2011
"3640",33.8,2011
"3665",48.3,2011
"3670",48.6,2011
"3674",40.8,2011
"3724",41.3,2011
"3727",29.7,2011
"3743",36.8,2011
"3765",35.6,2011
"3799",19.3,2011
"3807",37.9,2011
"3810",43.4,2011
"3824",39.6,2011
"3836",37.3,2011
"3837",34.5,2011
"3840",30.8,2011
"3845",33.1,2011
"3851",28,2011
"3855",29.7,2011
"3859",40.7,2011
"3860",30.2,2011
"3880",36,2011
"3883",38.4,2011
"3886",27.2,2011
"3894",35.8,2011
"3896",31.1,2011
"3901",30.6,2011
"3908",31,2011
"3909",45.1,2011
"3925",37.5,2011
"3930",37.1,2011
"3948",45.1,2011
"3971",46.7,2011
"3990",36.9,2011
"4002",47.8,2011
"44",33.7,2012
"48",41.8,2012
"53",34.1,2012
"65",29.4,2012
"70",11.3,2012
"110",35.8,2012
"111",17.3,2012
"120",46.8,2012
"140",35.3,2012
"147",36.9,2012
"160",20.1,2012
"173",32.3,2012
"176",23.9,2012
"178",49.2,2012
"183",22.2,2012
"187",18.4,2012
"199",40.8,2012
"200",18.7,2012
"214",40.2,2012
"216",31,2012
"228",20.3,2012
"229",33.1,2012
"255",19.7,2012
"276",35,2012
"277",29.5,2012
"290",31,2012
"301",32,2012
"311",24.8,2012
"312",36.4,2012
"333",39.1,2012
"379",37.6,2012
"400",42.6,2012
"404",33.5,2012
"420",36.4,2012
"422",31.7,2012
"437",27.5,2012
"440",35.1,2012
"444",31.3,2012
"454",35.9,2012
"459",36.8,2012
"462",32.5,2012
"466",27.2,2012
"475",35.7,2012
"478",22.4,2012
"492",36.8,2012
"501",37.4,2012
"502",40.2,2012
"514",31.4,2012
"526",37.8,2012
"536",30.9,2012
"581",25,2012
"595",37.8,2012
"604",36.4,2012
"616",31.5,2012
"619",33,2012
"620",32.3,2012
"621",14.7,2012
"625",31.4,2012
"642",48.8,2012
"689",62.5,2012
"726",70.5,2012
"728",54.8,2012
"731",57.9,2012
"754",63.3,2012
"760",28.5,2012
"762",76.6,2012
"765",70.3,2012
"772",56.4,2012
"773",46.1,2012
"775",30.2,2012
"777",72.5,2012
"788",41.4,2012
"808",69.7,2012
"813",70.8,2012
"817",45.4,2012
"820",52.5,2012
"856",64.2,2012
"888",35.9,2012
"918",37.2,2012
"931",50.5,2012
"932",75.2,2012
"945",43.5,2012
"954",62.4,2012
"956",39,2012
"960",59.7,2012
"966",49,2012
"983",33,2012
"987",36.9,2012
"988",59.9,2012
"989",44.8,2012
"1044",56.2,2012
"1050",50.7,2012
"1056",50.5,2012
"1059",41,2012
"1092",47.1,2012
"1098",50.2,2012
"1100",58,2012
"1104",52.1,2012
"1109",43.8,2012
"1113",43.7,2012
"1149",58.1,2012
"1150",48,2012
"1152",56.2,2012
"1156",58.1,2012
"1173",54.8,2012
"1181",42.1,2012
"1191",54.4,2012
"1202",49.2,2012
"1207",50.4,2012
"1220",47.2,2012
"1226",56.2,2012
"1243",45.5,2012
"1244",46.9,2012
"1250",45.2,2012
"1255",66.9,2012
"1256",43.8,2012
"1257",51.2,2012
"1282",45.7,2012
"1306",54,2012
"1320",58.5,2012
"1398",58.6,2012
"1407",64.8,2012
"1413",60.2,2012
"1416",67.8,2012
"1421",57.1,2012
"1422",57.3,2012
"1432",59.7,2012
"1434",59.8,2012
"1436",76.5,2012
"1438",56.8,2012
"1439",54.4,2012
"1443",63.2,2012
"1454",61.6,2012
"1466",81.3,2012
"1467",67.2,2012
"1479",64.6,2012
"1495",74.5,2012
"1502",61.9,2012
"1505",59.9,2012
"1511",58.8,2012
"1524",71,2012
"1543",70.5,2012
"1550",52.1,2012
"1575",76.2,2012
"1578",68,2012
"1596",60.7,2012
"1599",81.1,2012
"1609",85.3,2012
"1614",77.6,2012
"1618",63.6,2012
"1637",76.6,2012
"1716",78.6,2012
"1719",74.8,2012
"1729",73.7,2012
"1734",65.3,2012
"1742",64.9,2012
"1746",67.3,2012
"1747",70.7,2012
"1749",75.7,2012
"1782",80,2012
"1802",70.6,2012
"1822",72.4,2012
"1826",81.5,2012
"1835",69.2,2012
"1838",63.4,2012
"1840",68.2,2012
"1862",79,2012
"1888",78.6,2012
"1894",80.6,2012
"1896",53.8,2012
"1909",81.6,2012
"1913",76.4,2012
"1924",79.9,2012
"1935",84.9,2012
"1939",84.5,2012
"1944",60.9,2012
"1945",87.1,2012
"1948",71,2012
"1950",83.1,2012
"1964",75.4,2012
"1989",81.7,2012
"2034",78.2,2012
"2035",82.1,2012
"2073",92.7,2012
"2089",80.8,2012
"2101",77.3,2012
"2102",84.1,2012
"2114",83.2,2012
"2149",85.1,2012
"2157",78.2,2012
"2172",90,2012
"2177",87,2012
"2179",76.1,2012
"2185",87.2,2012
"2192",89.5,2012
"2194",76.9,2012
"2195",80.2,2012
"2198",78.5,2012
"2200",86.5,2012
"2207",77,2012
"2226",90.1,2012
"2236",75.8,2012
"2238",81.5,2012
"2244",87.7,2012
"2266",78.2,2012
"2268",77.1,2012
"2286",84.3,2012
"2314",83.5,2012
"2321",81.3,2012
"2331",80.5,2012
"2332",77,2012
"2334",83.6,2012
"2371",67.7,2012
"2378",68.5,2012
"2382",70.1,2012
"2384",67.8,2012
"2392",69.7,2012
"2411",70.7,2012
"2418",68.5,2012
"2425",79.6,2012
"2430",72,2012
"2431",79.2,2012
"2432",75.9,2012
"2443",76.3,2012
"2460",81.6,2012
"2465",82.2,2012
"2481",84.4,2012
"2482",80.2,2012
"2497",75.4,2012
"2512",68.6,2012
"2513",78.8,2012
"2547",74.8,2012
"2548",68.3,2012
"2550",77,2012
"2561",75.5,2012
"2562",74,2012
"2567",82.3,2012
"2571",83.7,2012
"2591",77.4,2012
"2618",80.1,2012
"2665",68.4,2012
"2668",75.3,2012
"2675",83.1,2012
"2717",66.3,2012
"2734",52.1,2012
"2746",57.1,2012
"2749",79.6,2012
"2753",78.3,2012
"2785",67.8,2012
"2798",65.8,2012
"2802",79.8,2012
"2814",64.4,2012
"2817",65.2,2012
"2829",62.9,2012
"2842",58.9,2012
"2863",76.6,2012
"2867",74.9,2012
"2871",59.9,2012
"2875",64.2,2012
"2879",61,2012
"2883",69,2012
"2891",72.7,2012
"2916",59.5,2012
"2922",55.1,2012
"2927",76.1,2012
"2935",71.5,2012
"2944",64.4,2012
"2947",57.7,2012
"2976",68.7,2012
"2986",65.2,2012
"2997",58.6,2012
"3002",53.6,2012
"3006",75.2,2012
"3063",53.1,2012
"3088",58.2,2012
"3091",48.2,2012
"3114",60.7,2012
"3116",64,2012
"3123",49.2,2012
"3140",64.2,2012
"3143",45.3,2012
"3153",42.9,2012
"3171",68.3,2012
"3178",43.7,2012
"3189",47.4,2012
"3196",53.4,2012
"3222",46.4,2012
"3227",63.7,2012
"3240",42,2012
"3241",49.1,2012
"3255",54.6,2012
"3260",63.8,2012
"3271",44.3,2012
"3273",51.1,2012
"3280",45.4,2012
"3288",50.6,2012
